key,n,pf,net,exp,wr,max_dd,pos_years,years,worst_year,drought_d
bb15d2.0_rsi35_adx100_sl1.0_24h_bandTP,2460,0.815,-767.81,-0.312,34.7,109.9,0,7,-307.65,7
bb15d2.0_rsi35_adx100_sl1.0_24h_rr15,2461,0.788,-842.73,-0.342,35.1,119.5,0,7,-236.59,7
bb15d2.0_rsi35_adx100_sl1.0_24h_rr20,2434,0.797,-844.77,-0.347,29.1,119.6,0,7,-256.74,7
bb15d2.0_rsi35_adx100_sl1.0_24h_bandTPtrW,2524,0.788,-754.03,-0.299,44.5,108.4,0,7,-224.46,7
bb15d2.0_rsi35_adx100_sl1.0_8-16_bandTP,1716,0.787,-671.77,-0.391,32.7,97.8,0,7,-269.25,12
bb15d2.0_rsi35_adx100_sl1.0_8-16_rr15,1717,0.761,-706.81,-0.412,34.7,102.2,0,7,-180.74,12
bb15d2.0_rsi35_adx100_sl1.0_8-16_rr20,1706,0.766,-703.69,-0.412,28.8,102.4,0,7,-234.2,12
bb15d2.0_rsi35_adx100_sl1.0_8-16_bandTPtrW,1753,0.761,-659.13,-0.376,43.1,96.2,0,7,-163.95,12
bb15d2.0_rsi35_adx100_sl1.5_24h_bandTP,2009,0.83,-570.72,-0.284,45.7,84.6,0,7,-182.54,8
bb15d2.0_rsi35_adx100_sl1.5_24h_rr15,1921,0.836,-588.24,-0.306,37.0,87.8,0,7,-160.51,8
bb15d2.0_rsi35_adx100_sl1.5_24h_rr20,1858,0.832,-639.15,-0.344,30.7,95.4,0,7,-168.39,8
bb15d2.0_rsi35_adx100_sl1.5_24h_bandTPtrW,2092,0.798,-581.27,-0.278,54.2,85.9,1,7,-206.27,8
bb15d2.0_rsi35_adx100_sl1.5_8-16_bandTP,1431,0.791,-526.24,-0.368,43.7,78.0,0,7,-146.44,12
bb15d2.0_rsi35_adx100_sl1.5_8-16_rr15,1400,0.8,-544.4,-0.389,36.1,80.4,0,7,-154.78,12
bb15d2.0_rsi35_adx100_sl1.5_8-16_rr20,1372,0.798,-570.04,-0.415,30.0,83.9,0,7,-142.76,12
bb15d2.0_rsi35_adx100_sl1.5_8-16_bandTPtrW,1477,0.766,-517.97,-0.351,52.9,77.2,0,7,-148.77,12
bb15d2.5_rsi30_adx25_sl1.0_24h_bandTP,290,0.629,-361.93,-1.248,25.5,55.9,1,7,-118.6,47
bb15d2.5_rsi30_adx25_sl1.0_24h_rr15,290,0.606,-363.21,-1.252,30.0,55.5,0,7,-103.8,47
bb15d2.5_rsi30_adx25_sl1.0_24h_rr20,290,0.639,-361.67,-1.247,24.8,55.7,0,7,-117.44,47
bb15d2.5_rsi30_adx25_sl1.0_24h_bandTPtrW,292,0.586,-334.38,-1.145,38.4,52.2,1,7,-102.36,47
bb15d2.5_rsi30_adx25_sl1.0_8-16_bandTP,234,0.616,-333.14,-1.424,24.8,53.5,1,7,-145.46,57
bb15d2.5_rsi30_adx25_sl1.0_8-16_rr15,234,0.591,-328.29,-1.403,29.9,51.5,1,7,-130.76,57
bb15d2.5_rsi30_adx25_sl1.0_8-16_rr20,234,0.611,-334.59,-1.43,24.4,53.3,1,7,-138.07,57
bb15d2.5_rsi30_adx25_sl1.0_8-16_bandTPtrW,234,0.567,-305.84,-1.307,38.5,47.5,2,7,-137.32,57
bb15d2.5_rsi30_adx25_sl1.5_24h_bandTP,273,0.699,-236.59,-0.867,39.2,39.2,2,7,-70.38,47
bb15d2.5_rsi30_adx25_sl1.5_24h_rr15,273,0.734,-232.95,-0.853,34.4,39.8,1,7,-63.44,47
bb15d2.5_rsi30_adx25_sl1.5_24h_rr20,273,0.805,-192.68,-0.706,30.0,38.9,3,7,-96.19,47
bb15d2.5_rsi30_adx25_sl1.5_24h_bandTPtrW,276,0.61,-234.52,-0.85,50.7,37.3,1,7,-66.02,47
bb15d2.5_rsi30_adx25_sl1.5_8-16_bandTP,217,0.729,-174.13,-0.802,38.7,33.0,2,7,-58.01,57
bb15d2.5_rsi30_adx25_sl1.5_8-16_rr15,217,0.715,-202.39,-0.933,33.6,35.4,1,7,-56.85,57
bb15d2.5_rsi30_adx25_sl1.5_8-16_rr20,217,0.778,-174.39,-0.804,29.0,36.3,1,7,-93.29,57
bb15d2.5_rsi30_adx25_sl1.5_8-16_bandTPtrW,218,0.637,-181.94,-0.835,51.4,32.0,2,7,-63.29,57
bb15d2.5_rsi30_adx100_sl1.0_24h_bandTP,745,0.719,-520.46,-0.699,29.0,76.3,0,7,-167.88,23
