timestamp_utc,open,high,low,close
2018-05-29 06:00:00,1.33173,1.33214,1.33121,1.33142
2018-05-29 07:00:00,1.33143,1.33230,1.32800,1.32864
2018-05-29 08:00:00,1.32866,1.32914,1.32407,1.32463
2018-05-29 09:00:00,1.32463,1.32472,1.32040,1.32319
2018-05-29 10:00:00,1.32309,1.32610,1.32283,1.32575
2018-05-29 11:00:00,1.32574,1.32743,1.32375,1.32490
2018-05-29 12:00:00,1.32490,1.32543,1.32313,1.32518
2018-05-29 13:00:00,1.32520,1.32917,1.32474,1.32853
2018-05-29 14:00:00,1.32853,1.32894,1.32673,1.32687
2018-05-29 15:00:00,1.32687,1.32980,1.32679,1.32725
2018-05-29 16:00:00,1.32731,1.32731,1.32410,1.32578
2018-05-29 17:00:00,1.32575,1.32598,1.32399,1.32429
2018-05-29 18:00:00,1.32430,1.32516,1.32284,1.32403
2018-05-29 19:00:00,1.32404,1.32531,1.32361,1.32474
2018-05-29 20:00:00,1.32476,1.32578,1.32408,1.32494
2018-05-29 21:00:00,1.32493,1.32610,1.32380,1.32380
2018-05-29 22:00:00,1.32381,1.32579,1.32375,1.32569
2018-05-29 23:00:00,1.32565,1.32593,1.32540,1.32555
2018-05-30 00:00:00,1.32553,1.32598,1.32508,1.32533
2018-05-30 01:00:00,1.32533,1.32569,1.32445,1.32467
2018-05-30 02:00:00,1.32468,1.32643,1.32446,1.32537
2018-05-30 03:00:00,1.32536,1.32539,1.32417,1.32496
2018-05-30 04:00:00,1.32494,1.32568,1.32432,1.32515
2018-05-30 05:00:00,1.32516,1.32557,1.32502,1.32533
2018-05-30 06:00:00,1.32533,1.32600,1.32447,1.32596
2018-05-30 07:00:00,1.32598,1.32757,1.32546,1.32733
2018-05-30 08:00:00,1.32732,1.32920,1.32664,1.32880
2018-05-30 09:00:00,1.32878,1.32935,1.32568,1.32739
2018-05-30 10:00:00,1.32744,1.32835,1.32560,1.32701
2018-05-30 11:00:00,1.32698,1.32782,1.32550,1.32769
